8a8189f83f7e3279013f7e4f95110001,False,梅山路-安农大站点,8a9481d03f79b7d6013f7a0948310002,7:00至20:00,至,至
ff8080812a41c5a3012a41ca86330001,False,诚信大道,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330002,False,诚信大道,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330003,False,开源路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330004,False,开源路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330005,False,莱茵达路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330006,False,莱茵达路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330007,False,天印大道,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330008,False,天印大道,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330009,False,天元路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330010,False,天元路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330011,False,兴民南路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330012,False,兴民南路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330013,False,竹山路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
ff8080812a41c5a3012a41ca86330014,False,竹山路,8a9481d03f79b7d6013f7a0948310002,00:00至23:59,00:00至23:59,00:00至23:59
