GPS_X,GPS_Y,RoadName,Node1,Node2
11715.32084,3151.5082,长江西路,梅山西路,安农大
11715.32484,3151.509647,长江西路,梅山西路,安农大
11715.32879,3151.511306,长江西路,梅山西路,安农大
11715.33272,3151.512832,长江西路,梅山西路,安农大
11715.33642,3151.514416,长江西路,梅山西路,安农大
11715.34047,3151.515824,长江西路,梅山西路,安农大
11715.34416,3151.51735,长江西路,梅山西路,安农大
11715.34839,3151.518934,长江西路,梅山西路,安农大
11715.35255,3151.520636,长江西路,梅山西路,安农大
11715.35678,3151.521985,长江西路,梅山西路,安农大
11715.36112,3151.52357,长江西路,梅山西路,安农大
11715.36534,3151.525162,长江西路,梅山西路,安农大
11715.36934,3151.526386,长江西路,梅山西路,安农大
11715.37303,3151.527736,长江西路,梅山西路,安农大
11715.37708,3151.529144,长江西路,梅山西路,安农大
11715.38095,3151.530376,长江西路,梅山西路,安农大
11715.38488,3151.531785,长江西路,梅山西路,安农大
11715.38893,3151.533193,长江西路,梅山西路,安农大
11715.39281,3151.534601,长江西路,梅山西路,安农大
11715.39697,3151.536009,长江西路,梅山西路,安农大
11715.40137,3151.537535,长江西路,梅山西路,安农大
11715.40572,3151.539282,长江西路,梅山西路,安农大
11715.41006,3151.540645,长江西路,梅山西路,安农大
11715.41405,3151.542229,长江西路,梅山西路,安农大
11715.41862,3151.543755,长江西路,梅山西路,安农大
11715.42291,3151.545456,长江西路,梅山西路,安农大
11715.42713,3151.546865,长江西路,梅山西路,安农大
11715.43147,3151.548279,长江西路,梅山西路,安农大
11715.43611,3151.549975,长江西路,梅山西路,安农大
11715.44092,3151.551676,长江西路,梅山西路,安农大
11715.44526,3151.553202,长江西路,梅山西路,安农大
11715.44886,3151.554434,长江西路,梅山西路,安农大
11715.45272,3151.556136,长江西路,梅山西路,安农大
11715.45694,3151.55772,长江西路,梅山西路,安农大
11715.46081,3151.55896,长江西路,梅山西路,安农大
11715.46486,3151.56036,长江西路,梅山西路,安农大
11715.46873,3151.561769,长江西路,梅山西路,安农大
11715.4729,3151.563518,长江西路,梅山西路,安农大
11715.47695,3151.564996,长江西路,梅山西路,安农大
11715.48129,3151.56658,长江西路,梅山西路,安农大
11715.79289,3151.67716,长江中路,环城西路,三孝口西
11715.79709,3151.678595,长江中路,环城西路,三孝口西
11715.80085,3151.67992,长江中路,环城西路,三孝口西
11715.80435,3151.681382,长江中路,环城西路,三孝口西
11715.80812,3151.682644,长江中路,环城西路,三孝口西
11715.81182,3151.684052,长江中路,环城西路,三孝口西
11715.81587,3151.68546,长江中路,环城西路,三孝口西
11715.81974,3151.686986,长江中路,环城西路,三孝口西
11715.8235,3151.688218,长江中路,环城西路,三孝口西
11715.82755,3151.689626,长江中路,环城西路,三孝口西
11715.83142,3151.690859,长江中路,环城西路,三孝口西
11715.83512,3151.692162,长江中路,环城西路,三孝口西
11715.83864,3151.693382,长江中路,环城西路,三孝口西
11715.84222,3151.694438,长江中路,环城西路,三孝口西
11715.84609,3151.695846,长江中路,环城西路,三孝口西
11715.84996,3151.697255,长江中路,环城西路,三孝口西
11715.85389,3151.698663,长江中路,环城西路,三孝口西
11715.85788,3151.699895,长江中路,环城西路,三孝口西
11715.86181,3151.701245,长江中路,环城西路,三孝口西
11715.86539,3151.702477,长江中路,环城西路,三孝口西
11715.86927,3151.703885,长江中路,环城西路,三孝口西
11715.87314,3151.705293,长江中路,环城西路,三孝口西
11715.87736,3151.706526,长江中路,环城西路,三孝口西
11715.88088,3151.707934,长江中路,环城西路,三孝口西
11715.88482,3151.709283,长江中路,环城西路,三孝口西
11715.88869,3151.710692,长江中路,环城西路,三孝口西
11715.89238,3151.7121,长江中路,环城西路,三孝口西
11715.89614,3151.713508,长江中路,环城西路,三孝口西
11715.89984,3151.714539,长江中路,环城西路,三孝口西
11715.90342,3151.716149,长江中路,环城西路,三孝口西
11715.90764,3151.717557,长江中路,环城西路,三孝口西
11715.91151,3151.719082,长江中路,环城西路,三孝口西
11715.91554,3151.720365,长江中路,环城西路,三孝口西
11715.91937,3151.72143,长江中路,环城西路,三孝口西
11715.92284,3151.722662,长江中路,环城西路,三孝口西
11715.92622,3151.724213,长江中路,环城西路,三孝口西
11715.9298,3151.725263,长江中路,环城西路,三孝口西
11715.9339,3151.726467,长江中路,环城西路,三孝口西
11715.93757,3151.727543,长江中路,环城西路,三孝口西
11715.94122,3151.728614,长江中路,环城西路,三孝口西
11716.22397,3151.79278,长江中路,金寨路,桐城路
11716.22814,3151.793741,长江中路,金寨路,桐城路
11716.23201,3151.794541,长江中路,金寨路,桐城路
11716.23594,3151.795118,长江中路,金寨路,桐城路
11716.24011,3151.795598,长江中路,金寨路,桐城路
11716.24398,3151.796079,长江中路,金寨路,桐城路
11716.24861,3151.79683,长江中路,金寨路,桐城路
11716.25284,3151.797651,长江中路,金寨路,桐城路
11716.25748,3151.798414,长江中路,金寨路,桐城路
11716.26229,3151.79926,长江中路,金寨路,桐城路
11716.26634,3151.800162,长江中路,金寨路,桐城路
11716.27038,3151.800162,长江中路,金寨路,桐城路
11716.27473,3151.801055,长江中路,金寨路,桐城路
11716.27924,3151.801993,长江中路,金寨路,桐城路
11716.28411,3151.802756,长江中路,金寨路,桐城路
11716.28775,3151.80305,长江中路,金寨路,桐城路
11716.2918,3151.803699,长江中路,金寨路,桐城路
11716.2955,3151.804282,长江中路,金寨路,桐城路
11716.29972,3151.805221,长江中路,金寨路,桐城路
11716.30342,3151.805799,长江中路,金寨路,桐城路
11716.30717,3151.806453,长江中路,金寨路,桐城路
11716.31105,3151.807244,长江中路,金寨路,桐城路
11716.31487,3151.808293,长江中路,金寨路,桐城路
11716.31894,3151.808742,长江中路,金寨路,桐城路
11716.32333,3151.809225,长江中路,金寨路,桐城路
11716.32677,3151.809882,长江中路,金寨路,桐城路
11716.33068,3151.810568,长江中路,金寨路,桐城路
11716.33465,3151.811349,长江中路,金寨路,桐城路
11716.3384,3151.812161,长江中路,金寨路,桐城路
11716.34246,3151.812882,长江中路,金寨路,桐城路
11716.34657,3151.813573,长江中路,金寨路,桐城路
11716.35039,3151.814143,长江中路,金寨路,桐城路
11716.35453,3151.81492,长江中路,金寨路,桐城路
11716.35863,3151.815646,长江中路,金寨路,桐城路
11716.36289,3151.816367,长江中路,金寨路,桐城路
11716.36733,3151.816998,长江中路,金寨路,桐城路
11716.37121,3151.817478,长江中路,金寨路,桐城路
11716.3746,3151.817928,长江中路,金寨路,桐城路
11716.37816,3151.818434,长江中路,金寨路,桐城路
11716.38203,3151.818765,长江中路,金寨路,桐城路
11716.38594,3151.819306,长江中路,金寨路,桐城路
11716.38975,3151.819696,长江中路,金寨路,桐城路
11716.3939,3151.819937,长江中路,金寨路,桐城路
11716.39796,3151.820417,长江中路,金寨路,桐城路
11716.40216,3151.820958,长江中路,金寨路,桐城路
11716.40577,3151.821198,长江中路,金寨路,桐城路
11716.40983,3151.821702,长江中路,金寨路,桐城路
11716.41373,3151.822208,长江中路,金寨路,桐城路
11716.41772,3151.822664,长江中路,金寨路,桐城路
11716.42173,3151.823169,长江中路,金寨路,桐城路
11716.42555,3151.823361,长江中路,金寨路,桐城路
11716.42899,3151.823866,长江中路,金寨路,桐城路
11716.43279,3151.824251,长江中路,金寨路,桐城路
11716.43574,3151.824635,长江中路,金寨路,桐城路
11716.43875,3151.82502,长江中路,金寨路,桐城路
11716.44113,3151.825404,长江中路,金寨路,桐城路
11716.44425,3151.825482,长江中路,金寨路,桐城路
11716.44781,3151.82608,长江中路,金寨路,桐城路
11716.45144,3151.826366,长江中路,金寨路,桐城路
11716.45519,3151.826678,长江中路,金寨路,桐城路
11716.45901,3151.827063,长江中路,金寨路,桐城路
11716.46252,3151.827183,长江中路,金寨路,桐城路
11716.46602,3151.827223,长江中路,金寨路,桐城路
11716.91976,3151.816808,长江中路,徽州大道,无为路
11716.92358,3151.816576,长江中路,徽州大道,无为路
11716.92719,3151.816585,长江中路,徽州大道,无为路
11716.93102,3151.816576,长江中路,徽州大道,无为路
11716.93529,3151.816576,长江中路,徽州大道,无为路
11716.93952,3151.816576,长江中路,徽州大道,无为路
11716.9429,3151.816354,长江中路,徽州大道,无为路
11716.94683,3151.816354,长江中路,徽州大道,无为路
11716.951,3151.816354,长江中路,徽州大道,无为路
11716.95475,3151.816354,长江中路,徽州大道,无为路
11716.95863,3151.816354,长江中路,徽州大道,无为路
11716.96241,3151.816354,长江中路,徽州大道,无为路
11716.96619,3151.816123,长江中路,徽州大道,无为路
11716.97015,3151.815969,长江中路,徽州大道,无为路
11716.97469,3151.815969,长江中路,徽州大道,无为路
11716.97951,3151.815969,长江中路,徽州大道,无为路
11716.98424,3151.81572,长江中路,徽州大道,无为路
11716.98841,3151.815566,长江中路,徽州大道,无为路
11716.99253,3151.815412,长江中路,徽州大道,无为路
11716.99626,3151.815566,长江中路,徽州大道,无为路
11717.02797,3151.817296,长江中路,徽州大道,无为路
11717.03192,3151.817638,长江中路,徽州大道,无为路
11717.03558,3151.818008,长江中路,徽州大道,无为路
11717.03944,3151.818469,长江中路,徽州大道,无为路
11717.04377,3151.818988,长江中路,徽州大道,无为路
11717.04794,3151.819392,长江中路,徽州大道,无为路
11717.05227,3151.819892,长江中路,徽州大道,无为路
11717.0565,3151.820353,长江中路,徽州大道,无为路
11717.06056,3151.820741,长江中路,徽州大道,无为路
11717.06463,3151.821065,长江中路,徽州大道,无为路
11717.0689,3151.821584,长江中路,徽州大道,无为路
11717.07338,3151.822141,长江中路,徽州大道,无为路
11717.07749,3151.822488,长江中路,徽州大道,无为路
11717.08157,3151.823103,长江中路,徽州大道,无为路
11717.08532,3151.82341,长江中路,徽州大道,无为路
11717.0894,3151.823776,长江中路,徽州大道,无为路
11717.0933,3151.82418,长江中路,徽州大道,无为路
11717.09728,3151.824487,长江中路,徽州大道,无为路
11717.10155,3151.824853,长江中路,徽州大道,无为路
11717.10541,3151.825256,长江中路,徽州大道,无为路
11717.10964,3151.825814,长江中路,徽州大道,无为路
11717.1136,3151.82616,长江中路,徽州大道,无为路
11717.11731,3151.826564,长江中路,徽州大道,无为路
11717.12129,3151.826833,长江中路,徽州大道,无为路
11717.12501,3151.827121,长江中路,徽州大道,无为路
11717.12908,3151.82764,长江中路,徽州大道,无为路
11717.13295,3151.82789,长江中路,徽州大道,无为路
11717.13675,3151.828294,长江中路,徽州大道,无为路
11717.14066,3151.828618,长江中路,徽州大道,无为路
11717.14513,3151.829204,长江中路,徽州大道,无为路
11717.14926,3151.829579,长江中路,徽州大道,无为路
11717.15339,3151.829916,长江中路,无为路,环城南路
11717.15765,3151.830421,长江中路,无为路,环城南路
11717.16193,3151.830925,长江中路,无为路,环城南路
11717.16637,3151.831238,长江中路,无为路,环城南路
11717.17144,3151.831622,长江中路,无为路,环城南路
11717.17577,3151.832259,长江中路,无为路,环城南路
11717.18048,3151.832512,长江中路,无为路,环城南路
11717.185,3151.832944,长江中路,无为路,环城南路
11717.18995,3151.833401,长江中路,无为路,环城南路
11717.19531,3151.833906,长江中路,无为路,环城南路
11717.20033,3151.83441,长江中路,无为路,环城南路
11717.20528,3151.834781,长江中路,无为路,环城南路
11717.21031,3151.8353,长江中路,无为路,环城南路
11717.21514,3151.835949,长江中路,无为路,环城南路
11717.22047,3151.836333,长江中路,无为路,环城南路
11717.22557,3151.836766,长江中路,无为路,环城南路
11717.23042,3151.837198,长江中路,无为路,环城南路
11717.23533,3151.837751,长江中路,无为路,环城南路
11717.2411,3151.838136,长江中路,无为路,环城南路
11717.24631,3151.838905,长江中路,无为路,环城南路
11717.25133,3151.83928,长江中路,无为路,环城南路
11717.25636,3151.839986,长江中路,无为路,环城南路
11717.26164,3151.840299,长江中路,无为路,环城南路
11717.26627,3151.840744,长江中路,无为路,环城南路
11717.27079,3151.841009,长江中路,无为路,环城南路
11717.2755,3151.8418,长江中路,无为路,环城南路
11717.27994,3151.8418,长江中路,无为路,环城南路
11717.28388,3151.842162,长江中路,无为路,环城南路
11717.2879,3151.842531,长江中路,无为路,环城南路
11717.29227,3151.842787,长江中路,无为路,环城南路
11717.29655,3151.843412,长江中路,无为路,环城南路
11717.30035,3151.843749,长江中路,无为路,环城南路
11717.30455,3151.844205,长江中路,无为路,环城南路
11717.30895,3151.844782,长江中路,无为路,环城南路
11717.31301,3151.845335,长江中路,无为路,环城南路
11717.31707,3151.845984,长江中路,无为路,环城南路
11717.32179,3151.846489,长江中路,无为路,环城南路
11717.32642,3151.847114,长江中路,无为路,环城南路
11717.3307,3151.847642,长江中路,无为路,环城南路
11717.3352,3151.848195,长江中路,无为路,环城南路
11717.33933,3151.848724,长江中路,无为路,环城南路
11717.34399,3151.849421,长江中路,无为路,环城南路
11717.34779,3151.849733,长江中路,无为路,环城南路
11717.35135,3151.85019,长江中路,无为路,环城南路
11717.35471,3151.850623,长江中路,无为路,环城南路
11717.35861,3151.851271,长江中路,无为路,环城南路
11717.36249,3151.851776,长江中路,无为路,环城南路
11717.36571,3151.85216,长江中路,无为路,环城南路
11717.36961,3151.852545,长江中路,无为路,环城南路
11717.3737,3151.853022,长江中路,无为路,环城南路
11717.37841,3151.853507,长江中路,无为路,环城南路
