设备编号为510100A50***,,,
序号,车辆自编号,线路,设备编号(后三位)
1,16033,47,401
2,16056,147,402
3,16057,147,403
4,16058,147,404
5,16059,147,405
6,16060,147,406
7,16061,147,407
8,16062,147,408
9,16063,147,409
10,16064,147,410
11,16065,147,411
12,26046,58,412
13,26047,58,413
14,26048,58,414
15,26049,58,415
16,26050,58,416
17,26056,58,417
18,26057,58,418
19,26058,58,419
20,26059,58,420
21,36056,118,421
22,36062,118,422
23,36063,118,423
24,36064,118,424
25,36065,118,425
26,36066,306,426
27,36067,306,427
28,36068,306,428
29,36069,306,429
30,36070,306,430
31,36071,306,431
32,36072,306,432
33,36073,306,433
34,36076,99,434
35,36077,99,435
36,36078,99,436
37,36079,99,437
38,36080,99,438
39,36081,99,439
40,36082,84,440
41,36083,84,441
42,36084,84,442
43,36085,84,443
44,36086,84,444
45,36087,84,445
46,36088,84,446
47,36089,84,447
48,36090,118,448
49,36091,118,449
50,36092,118,450
51,36093,118,451
52,36094,118,452
53,36095,118,453
54,36096,84,454
55,36097,84,455
56,36098,84,456
57,36099,118,457
58,36100,118,458
59,36101,99,459
60,36102,99,460
61,36103,99,461
62,36104,99,462
63,36105,99,463
64,46033,56,464
65,46034,56,465
66,46035,56,466
67,46036,146,467
68,46037,56,468
69,46038,56,469
70,46039,56,470
71,46040,146,471
72,46041,56,472
73,46042,56,473
74,46043,56,474
75,46044,146,475
76,46045,机动,476
77,46046,146,477
78,46047,146,478
79,46048,101,479
80,46049,101,480
81,46050,101,481
82,46051,101,482
83,46052,1,483
84,46056,56,484
85,46061,56,485
86,46063,146,486
87,46069,49,487
88,46071,49,488
89,46072,49,489
90,46074,49,490
91,58035,342,491
92,58036,342,492
93,58037,342,493
94,58038,342,494
95,58039,342,495
96,58040,342,496
97,58041,342,497
98,58042,342,498
99,58043,342,499
100,58044,342,40A
101,58045,342,40B
102,58046,342,40C
103,58047,342,40D
104,58048,342,40E
105,58049,342,40F
106,58050,342,40G
107,58051,342,40H
108,58052,342,40J
109,58053,342,40K
110,58054,342,40L
111,58055,30,40M
112,58056,30,40N
113,58057,43,40P
114,58058,43,40Q
115,58059,43,40R
116,58060,43,40S
117,58061,43,40T
118,58062,43,40U
119,58063,43,40V
120,58064,43,40W
121,58065,43,40X
122,58066,43,40Y
123,58067,43,40Z
124,58068,43,41A
125,59438,30,41B
126,59439,30,41C
127,59440,30,41D
128,59441,30,41E
129,59442,30,41F
130,59443,30,41G
131,59444,30,41H
132,59445,30,41J
133,59446,30,41K
134,59447,30,41L
135,59448,30,41M
136,59449,30,41N
137,59450,30,41P
138,59451,30,41Q
139,59452,30,41R
140,59453,30,41S
141,59454,30,41T
142,59455,30,41U
143,59456,30,41V
144,59457,30,41W
145,59458,30,41X
146,59459,30,41Y
147,59460,30,41Z
148,59461,30,42A
149,59462,30,42B
150,59463,30,42C
151,59464,43,42D
152,59465,43,42E
153,59466,43,42F
154,59467,43,42G
155,59468,43,42H
156,59469,43,42J
157,59470,43,42K
158,59471,43,42L
159,59472,43,42M
160,59473,43,42N
161,59474,43,42P
162,59475,43,42Q
163,59476,43,42R
164,59477,43,42S
165,59478,43,42T
