SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,RoadName,RoadID,,,,,,
1,117.2552817,31.85844696,1,0,16,梅山路,1,,,,,,
2,117.2553474,31.85847,1,0,16,梅山路-安农大,1,【RoadID说明】：                                    专用道：长江路，现有四段专用道，具体路段ID描述如下：                          1：表示长江路与梅山路交叉口口——安农大站点；           2：表示长江路与环城西路交叉口——三孝口西站；         3：表示长江路与金寨路交叉口——长江路与桐城路交叉口；            4：表示长江路与徽州大道交叉口——东方商城站点,,,,,
3,117.255414,31.85849412,1,0,16,梅山路-安农大,1,,,,,,
4,117.2554738,31.8585196,1,0,16,梅山路-安农大,1,,,,,,
5,117.2555336,31.85854312,1,0,16,梅山路-安农大,1,,,,,,
6,117.2555983,31.85856958,1,0,16,梅山路-安农大,1,,,,,,
7,117.2556629,31.85859212,1,0,16,梅山路-安农大,1,,,,,,
8,117.2557257,31.85861564,1,0,16,梅山路-安农大,1,,,,,,
9,117.2557854,31.85863426,1,0,16,梅山路-安农大,1,,,,,,
10,117.2558452,31.85865485,1,0,16,梅山路-安农大,1,,,,,,
11,117.255904,31.85867543,1,0,16,梅山路-安农大,1,,,,,,
12,117.2559638,31.85869895,1,0,16,梅山路-安农大,1,,,,,,
13,117.2560349,31.85872247,1,0,16,梅山路-安农大,1,,,,,,
14,117.2560883,31.85874795,1,0,16,梅山路-安农大,1,,,,,,
15,117.2561579,31.85876657,1,0,16,梅山路-安农大,1,,,,,,
16,117.2562255,31.85879202,1,0,16,梅山路-安农大,1,,,,,,
17,117.2562823,31.85881263,1,0,16,梅山路-安农大,1,,,,,,
18,117.2563421,31.85883321,1,0,16,梅山路-安农大,1,,,,,,
19,117.2563989,31.85885304,1,0,16,梅山路-安农大,1,,,,,,
20,117.2564587,31.85887731,1,0,16,梅山路-安农大,1,,,,,,
21,117.2565234,31.85890002,1,0,16,梅山路-安农大,1,,,,,,
22,117.2565881,31.85891802,1,0,16,梅山路-安农大,1,,,,,,
23,117.2566528,31.85893701,1,0,16,梅山路-安农大,1,,,,,,
24,117.2567096,31.85896355,1,0,16,梅山路-安农大,1,,,,,,
25,117.2567821,31.85898804,1,0,16,梅山路-安农大,1,,,,,,
