SMID,SMX,SMY,专用道名称,起点/终点,起点/终点,专用道原名称
1,117.2553474,31.85847,长江西路,梅山西路,安农大,梅山西路-安农大
2,117.255414,31.85849412,长江西路,梅山西路,安农大,梅山西路-安农大
3,117.2554798,31.85852177,长江西路,梅山西路,安农大,梅山西路-安农大
4,117.2555453,31.8585472,长江西路,梅山西路,安农大,梅山西路-安农大
5,117.255607,31.8585736,长江西路,梅山西路,安农大,梅山西路-安农大
6,117.2556744,31.85859707,长江西路,梅山西路,安农大,梅山西路-安农大
7,117.255736,31.8586225,长江西路,梅山西路,安农大,梅山西路-安农大
8,117.2558065,31.8586489,长江西路,梅山西路,安农大,梅山西路-安农大
9,117.2558759,31.85867726,长江西路,梅山西路,安农大,梅山西路-安农大
10,117.2559463,31.85869976,长江西路,梅山西路,安农大,梅山西路-安农大
11,117.2560187,31.85872616,长江西路,梅山西路,安农大,梅山西路-安农大
12,117.2560889,31.85875271,长江西路,梅山西路,安农大,梅山西路-安农大
13,117.2561556,31.8587731,长江西路,梅山西路,安农大,梅山西路-安农大
15,117.2562172,31.8587956,长江西路,梅山西路,安农大,梅山西路-安农大
16,117.2562847,31.85881907,长江西路,梅山西路,安农大,梅山西路-安农大
18,117.2563492,31.8588396,长江西路,梅山西路,安农大,梅山西路-安农大
20,117.2564147,31.85886308,长江西路,梅山西路,安农大,梅山西路-安农大
21,117.2564822,31.85888655,长江西路,梅山西路,安农大,梅山西路-安农大
22,117.2565468,31.85891002,长江西路,梅山西路,安农大,梅山西路-安农大
23,117.2566162,31.85893349,长江西路,梅山西路,安农大,梅山西路-安农大
24,117.2566896,31.85895892,长江西路,梅山西路,安农大,梅山西路-安农大
25,117.2567619,31.85898804,长江西路,梅山西路,安农大,梅山西路-安农大
26,117.2568343,31.85901075,长江西路,梅山西路,安农大,梅山西路-安农大
27,117.2569008,31.85903715,长江西路,梅山西路,安农大,梅山西路-安农大
28,117.256977,31.85906258,长江西路,梅山西路,安农大,梅山西路-安农大
29,117.2570485,31.85909094,长江西路,梅山西路,安农大,梅山西路-安农大
30,117.2571189,31.85911441,长江西路,梅山西路,安农大,梅山西路-安农大
31,117.2571912,31.85913798,长江西路,梅山西路,安农大,梅山西路-安农大
32,117.2572685,31.85916624,长江西路,梅山西路,安农大,梅山西路-安农大
33,117.2573487,31.8591946,长江西路,梅山西路,安农大,梅山西路-安农大
34,117.2574211,31.85922003,长江西路,梅山西路,安农大,梅山西路-安农大
35,117.257481,31.85924057,长江西路,梅山西路,安农大,梅山西路-安农大
36,117.2575453,31.85926893,长江西路,梅山西路,安农大,梅山西路-安农大
37,117.2576157,31.85929533,长江西路,梅山西路,安农大,梅山西路-安农大
38,117.2576802,31.859316,长江西路,梅山西路,安农大,梅山西路-安农大
39,117.2577477,31.85933934,长江西路,梅山西路,安农大,梅山西路-安农大
40,117.2578122,31.85936281,长江西路,梅山西路,安农大,梅山西路-安农大
41,117.2578817,31.85939196,长江西路,梅山西路,安农大,梅山西路-安农大
42,117.2579492,31.8594166,长江西路,梅山西路,安农大,梅山西路-安农大
43,117.2580215,31.859443,长江西路,梅山西路,安农大,梅山西路-安农大
46,117.2632149,31.861286,长江中路,环城西路,三孝口西,环城西路-三孝口西
47,117.2632849,31.86130992,长江中路,环城西路,三孝口西,环城西路-三孝口西
48,117.2633475,31.861332,长江中路,环城西路,三孝口西,环城西路-三孝口西
49,117.2634059,31.86135637,长江中路,环城西路,三孝口西,环城西路-三孝口西
50,117.2634687,31.8613774,长江中路,环城西路,三孝口西,环城西路-三孝口西
51,117.2635303,31.86140087,长江中路,环城西路,三孝口西,环城西路-三孝口西
52,117.2635978,31.86142434,长江中路,环城西路,三孝口西,环城西路-三孝口西
53,117.2636624,31.86144977,长江中路,环城西路,三孝口西,环城西路-三孝口西
54,117.263725,31.8614703,长江中路,环城西路,三孝口西,环城西路-三孝口西
55,117.2637924,31.86149377,长江中路,环城西路,三孝口西,环城西路-三孝口西
56,117.263857,31.86151431,长江中路,环城西路,三孝口西,环城西路-三孝口西
57,117.2639186,31.86153603,长江中路,环城西路,三孝口西,环城西路-三孝口西
58,117.2639773,31.86155636,长江中路,环城西路,三孝口西,环城西路-三孝口西
59,117.2640369,31.86157397,长江中路,环城西路,三孝口西,环城西路-三孝口西
60,117.2641015,31.86159744,长江中路,环城西路,三孝口西,环城西路-三孝口西
61,117.264166,31.86162091,长江中路,环城西路,三孝口西,环城西路-三孝口西
62,117.2642315,31.86164438,长江中路,环城西路,三孝口西,环城西路-三孝口西
63,117.264298,31.86166492,长江中路,环城西路,三孝口西,环城西路-三孝口西
65,117.2643636,31.86168741,长江中路,环城西路,三孝口西,环城西路-三孝口西
67,117.2644232,31.86170795,长江中路,环城西路,三孝口西,环城西路-三孝口西
68,117.2644878,31.86173142,长江中路,环城西路,三孝口西,环城西路-三孝口西
69,117.2645523,31.86175489,长江中路,环城西路,三孝口西,环城西路-三孝口西
70,117.2646227,31.86177543,长江中路,环城西路,三孝口西,环城西路-三孝口西
71,117.2646814,31.8617989,长江中路,环城西路,三孝口西,环城西路-三孝口西
72,117.2647469,31.86182139,长江中路,环城西路,三孝口西,环城西路-三孝口西
73,117.2648115,31.86184486,长江中路,环城西路,三孝口西,环城西路-三孝口西
75,117.2648731,31.86186833,长江中路,环城西路,三孝口西,环城西路-三孝口西
76,117.2649357,31.8618918,长江中路,环城西路,三孝口西,环城西路-三孝口西
77,117.2649973,31.86190899,长江中路,环城西路,三孝口西,环城西路-三孝口西
78,117.2650569,31.86193581,长江中路,环城西路,三孝口西,环城西路-三孝口西
79,117.2651273,31.86195928,长江中路,环城西路,三孝口西,环城西路-三孝口西
80,117.2651919,31.86198471,长江中路,环城西路,三孝口西,环城西路-三孝口西
81,117.2652591,31.86200609,长江中路,环城西路,三孝口西,环城西路-三孝口西
82,117.2653229,31.86202383,长江中路,环城西路,三孝口西,环城西路-三孝口西
86,117.2653806,31.86204436,长江中路,环城西路,三孝口西,环城西路-三孝口西
87,117.2654371,31.86207022,长江中路,环城西路,三孝口西,环城西路-三孝口西
88,117.2654966,31.86208771,长江中路,环城西路,三孝口西,环城西路-三孝口西
89,117.265565,31.86210778,长江中路,环城西路,三孝口西,环城西路-三孝口西
92,117.2656261,31.86212571,长江中路,环城西路,三孝口西,环城西路-三孝口西
93,117.265687,31.86214357,长江中路,环城西路,三孝口西,环城西路-三孝口西
102,117.2703995,31.863213,长江中路,金寨路,桐城路,金寨路-桐城路
103,117.2704689,31.86322902,长江中路,金寨路,桐城路,金寨路-桐城路
105,117.2705335,31.86324236,长江中路,金寨路,桐城路,金寨路-桐城路
106,117.270599,31.86325197,长江中路,金寨路,桐城路,金寨路-桐城路
110,117.2706684,31.86325996,长江中路,金寨路,桐城路,金寨路-桐城路
112,117.270733,31.86326799,长江中路,金寨路,桐城路,金寨路-桐城路
115,117.2708102,31.8632805,长江中路,金寨路,桐城路,金寨路-桐城路
117,117.2708807,31.86329419,长江中路,金寨路,桐城路,金寨路-桐城路
118,117.2709579,31.8633069,长江中路,金寨路,桐城路,金寨路-桐城路
119,117.2710381,31.863321,长江中路,金寨路,桐城路,金寨路-桐城路
125,117.2711056,31.86333603,长江中路,金寨路,桐城路,金寨路-桐城路
128,117.2711731,31.86333603,长江中路,金寨路,桐城路,金寨路-桐城路
129,117.2712454,31.86335091,长江中路,金寨路,桐城路,金寨路-桐城路
130,117.2713207,31.86336656,长江中路,金寨路,桐城路,金寨路-桐城路
131,117.2714018,31.86337927,长江中路,金寨路,桐城路,金寨路-桐城路
132,117.2714625,31.86338416,长江中路,金寨路,桐城路,金寨路-桐城路
133,117.27153,31.86339498,长江中路,金寨路,桐城路,金寨路-桐城路
134,117.2715916,31.8634047,长江中路,金寨路,桐城路,金寨路-桐城路
135,117.271662,31.86342035,长江中路,金寨路,桐城路,金寨路-桐城路
136,117.2717237,31.86342999,长江中路,金寨路,桐城路,金寨路-桐城路
138,117.2717862,31.86344088,长江中路,金寨路,桐城路,金寨路-桐城路
139,117.2718508,31.86345407,长江中路,金寨路,桐城路,金寨路-桐城路
141,117.2719145,31.86347155,长江中路,金寨路,桐城路,金寨路-桐城路
142,117.2719824,31.86347903,长江中路,金寨路,桐城路,金寨路-桐城路
143,117.2720555,31.86348709,长江中路,金寨路,桐城路,金寨路-桐城路
145,117.2721129,31.86349803,长江中路,金寨路,桐城路,金寨路-桐城路
146,117.272178,31.86350947,长江中路,金寨路,桐城路,金寨路-桐城路
147,117.2722441,31.86352249,长江中路,金寨路,桐城路,金寨路-桐城路
148,117.2723067,31.86353601,长江中路,金寨路,桐城路,金寨路-桐城路
149,117.2723743,31.86354803,长江中路,金寨路,桐城路,金寨路-桐城路
150,117.2724429,31.86355954,长江中路,金寨路,桐城路,金寨路-桐城路
151,117.2725065,31.86356906,长江中路,金寨路,桐城路,金寨路-桐城路
152,117.2725756,31.863582,长江中路,金寨路,桐城路,金寨路-桐城路
153,117.2726438,31.86359409,长江中路,金寨路,桐城路,金寨路-桐城路
154,117.2727148,31.86360611,长江中路,金寨路,桐城路,金寨路-桐城路
155,117.2727889,31.86361663,长江中路,金寨路,桐城路,金寨路-桐城路
156,117.2728535,31.86362464,长江中路,金寨路,桐城路,金寨路-桐城路
158,117.27291,31.86363214,长江中路,金寨路,桐城路,金寨路-桐城路
159,117.2729693,31.86364057,长江中路,金寨路,桐城路,金寨路-桐城路
160,117.2730339,31.86364608,长江中路,金寨路,桐城路,金寨路-桐城路
161,117.273099,31.86365509,长江中路,金寨路,桐城路,金寨路-桐城路
162,117.2731626,31.8636616,长江中路,金寨路,桐城路,金寨路-桐城路
163,117.2732317,31.86366561,长江中路,金寨路,桐城路,金寨路-桐城路
164,117.2732993,31.86367362,长江中路,金寨路,桐城路,金寨路-桐城路
165,117.2733694,31.86368263,长江中路,金寨路,桐城路,金寨路-桐城路
167,117.2734295,31.86368664,长江中路,金寨路,桐城路,金寨路-桐城路
168,117.2734972,31.86369504,长江中路,金寨路,桐城路,金寨路-桐城路
169,117.2735621,31.86370346,长江中路,金寨路,桐城路,金寨路-桐城路
170,117.2736286,31.86371107,长江中路,金寨路,桐城路,金寨路-桐城路
171,117.2736955,31.86371949,长江中路,金寨路,桐城路,金寨路-桐城路
172,117.2737592,31.86372269,长江中路,金寨路,桐城路,金寨路-桐城路
173,117.2738165,31.8637311,长江中路,金寨路,桐城路,金寨路-桐城路
174,117.2738798,31.86373751,长江中路,金寨路,桐城路,金寨路-桐城路
175,117.273929,31.86374392,长江中路,金寨路,桐城路,金寨路-桐城路
176,117.2739791,31.86375033,长江中路,金寨路,桐城路,金寨路-桐城路
177,117.2740188,31.86375674,长江中路,金寨路,桐城路,金寨路-桐城路
179,117.2740708,31.86375804,长江中路,金寨路,桐城路,金寨路-桐城路
180,117.2741301,31.863768,长江中路,金寨路,桐城路,金寨路-桐城路
181,117.2741906,31.86377276,长江中路,金寨路,桐城路,金寨路-桐城路
182,117.2742531,31.86377797,长江中路,金寨路,桐城路,金寨路-桐城路
183,117.2743169,31.86378438,长江中路,金寨路,桐城路,金寨路-桐城路
184,117.2743753,31.86378638,长江中路,金寨路,桐城路,金寨路-桐城路
185,117.2744336,31.86378705,长江中路,金寨路,桐城路,金寨路-桐城路
188,117.281996,31.86361347,长江中路,徽州大道,无为路,徽州大道-无为路
191,117.2820596,31.8636096,长江中路,徽州大道,无为路,徽州大道-无为路
192,117.2821199,31.86360975,长江中路,徽州大道,无为路,徽州大道-无为路
193,117.2821837,31.8636096,长江中路,徽州大道,无为路,徽州大道-无为路
194,117.2822548,31.8636096,长江中路,徽州大道,无为路,徽州大道-无为路
195,117.2823253,31.8636096,长江中路,徽州大道,无为路,徽州大道-无为路
196,117.2823817,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
197,117.2824471,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
198,117.2825166,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
199,117.2825791,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
200,117.2826439,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
201,117.2827069,31.8636059,长江中路,徽州大道,无为路,徽州大道-无为路
202,117.2827698,31.86360205,长江中路,徽州大道,无为路,徽州大道-无为路
203,117.2828358,31.86359949,长江中路,徽州大道,无为路,徽州大道-无为路
204,117.2829114,31.86359949,长江中路,徽州大道,无为路,徽州大道-无为路
205,117.2829919,31.86359949,长江中路,徽州大道,无为路,徽州大道-无为路
206,117.2830707,31.86359533,长江中路,徽州大道,无为路,徽州大道-无为路
207,117.2831402,31.86359276,长江中路,徽州大道,无为路,徽州大道-无为路
208,117.2832088,31.8635902,长江中路,徽州大道,无为路,徽州大道-无为路
209,117.283271,31.86359276,长江中路,徽州大道,无为路,徽州大道-无为路
210,117.2837994,31.8636216,长江中路,徽州大道,无为路,徽州大道-无为路
211,117.2838654,31.8636273,长江中路,徽州大道,无为路,徽州大道-无为路
212,117.2839263,31.86363346,长江中路,徽州大道,无为路,徽州大道-无为路
213,117.2839907,31.86364115,长江中路,徽州大道,无为路,徽州大道-无为路
214,117.2840628,31.8636498,长江中路,徽州大道,无为路,徽州大道-无为路
215,117.2841324,31.86365653,长江中路,徽州大道,无为路,徽州大道-无为路
216,117.2842045,31.86366486,长江中路,徽州大道,无为路,徽州大道-无为路
218,117.284275,31.86367256,长江中路,徽州大道,无为路,徽州大道-无为路
219,117.2843426,31.86367902,长江中路,徽州大道,无为路,徽州大道-无为路
220,117.2844105,31.86368441,长江中路,徽州大道,无为路,徽州大道-无为路
221,117.2844817,31.86369306,长江中路,徽州大道,无为路,徽州大道-无为路
222,117.2845563,31.86370236,长江中路,徽州大道,无为路,徽州大道-无为路
223,117.2846249,31.86370813,长江中路,徽州大道,无为路,徽州大道-无为路
224,117.2846929,31.86371838,长江中路,徽州大道,无为路,徽州大道-无为路
225,117.2847553,31.86372351,长江中路,徽州大道,无为路,徽州大道-无为路
226,117.2848233,31.8637296,长江中路,徽州大道,无为路,徽州大道-无为路
227,117.2848883,31.86373633,长江中路,徽州大道,无为路,徽州大道-无为路
228,117.2849547,31.86374145,长江中路,徽州大道,无为路,徽州大道-无为路
229,117.2850258,31.86374754,长江中路,徽州大道,无为路,徽州大道-无为路
230,117.2850902,31.86375427,长江中路,徽州大道,无为路,徽州大道-无为路
231,117.2851607,31.86376356,长江中路,徽州大道,无为路,徽州大道-无为路
232,117.2852267,31.86376933,长江中路,徽州大道,无为路,徽州大道-无为路
233,117.2852886,31.86377606,长江中路,徽州大道,无为路,徽州大道-无为路
234,117.2853549,31.86378055,长江中路,徽州大道,无为路,徽州大道-无为路
235,117.2854168,31.86378536,长江中路,徽州大道,无为路,徽州大道-无为路
236,117.2854847,31.86379401,长江中路,徽州大道,无为路,徽州大道-无为路
237,117.2855491,31.86379817,长江中路,徽州大道,无为路,徽州大道-无为路
239,117.2856126,31.8638049,长江中路,徽州大道,无为路,徽州大道-无为路
240,117.2856776,31.8638103,长江中路,徽州大道,无为路,徽州大道-无为路
241,117.2857522,31.86382006,长江中路,徽州大道,无为路,徽州大道-无为路
243,117.285821,31.86382632,长江中路,徽州大道,无为路,徽州大道-无为路
244,117.2858899,31.86383193,长江中路 ,无为路,环城南路,无为路-环城南路
245,117.2859608,31.86384034,长江中路 ,无为路,环城南路,无为路-环城南路
246,117.2860321,31.86384876,长江中路 ,无为路,环城南路,无为路-环城南路
247,117.2861062,31.86385396,长江中路 ,无为路,环城南路,无为路-环城南路
248,117.2861907,31.86386037,长江中路 ,无为路,环城南路,无为路-环城南路
249,117.2862628,31.86387099,长江中路 ,无为路,环城南路,无为路-环城南路
250,117.2863414,31.86387519,长江中路 ,无为路,环城南路,无为路-环城南路
251,117.2864167,31.8638824,长江中路 ,无为路,环城南路,无为路-环城南路
252,117.2864992,31.86389001,长江中路 ,无为路,环城南路,无为路-环城南路
253,117.2865885,31.86389843,长江中路 ,无为路,环城南路,无为路-环城南路
254,117.2866722,31.86390684,长江中路 ,无为路,环城南路,无为路-环城南路
255,117.2867547,31.86391302,长江中路 ,无为路,环城南路,无为路-环城南路
256,117.2868385,31.86392166,长江中路 ,无为路,环城南路,无为路-环城南路
257,117.286919,31.86393248,长江中路 ,无为路,环城南路,无为路-环城南路
258,117.2870079,31.86393888,长江中路 ,无为路,环城南路,无为路-环城南路
259,117.2870928,31.86394609,长江中路 ,无为路,环城南路,无为路-环城南路
260,117.2871737,31.8639533,长江中路 ,无为路,环城南路,无为路-环城南路
261,117.2872555,31.86396252,长江中路 ,无为路,环城南路,无为路-环城南路
262,117.2873516,31.86396893,长江中路 ,无为路,环城南路,无为路-环城南路
263,117.2874385,31.86398175,长江中路 ,无为路,环城南路,无为路-环城南路
264,117.2875222,31.863988,长江中路 ,无为路,环城南路,无为路-环城南路
265,117.287606,31.86399977,长江中路 ,无为路,环城南路,无为路-环城南路
266,117.2876941,31.86400498,长江中路 ,无为路,环城南路,无为路-环城南路
267,117.2877711,31.86401241,长江中路 ,无为路,环城南路,无为路-环城南路
268,117.2878464,31.86401681,长江中路 ,无为路,环城南路,无为路-环城南路
269,117.2879249,31.86403,长江中路 ,无为路,环城南路,无为路-环城南路
270,117.287999,31.86403,长江中路 ,无为路,环城南路,无为路-环城南路
271,117.2880647,31.86403604,长江中路 ,无为路,环城南路,无为路-环城南路
272,117.2881317,31.86404218,长江中路 ,无为路,环城南路,无为路-环城南路
273,117.2882045,31.86404646,长江中路 ,无为路,环城南路,无为路-环城南路
274,117.2882758,31.86405687,长江中路 ,无为路,环城南路,无为路-环城南路
275,117.2883391,31.86406248,长江中路 ,无为路,环城南路,无为路-环城南路
276,117.2884092,31.86407009,长江中路 ,无为路,环城南路,无为路-环城南路
277,117.2884825,31.8640797,长江中路 ,无为路,环城南路,无为路-环城南路
278,117.2885502,31.86408892,长江中路 ,无为路,环城南路,无为路-环城南路
279,117.2886179,31.86409973,长江中路 ,无为路,环城南路,无为路-环城南路
280,117.2886964,31.86410814,长江中路 ,无为路,环城南路,无为路-环城南路
281,117.2887737,31.86411856,长江中路 ,无为路,环城南路,无为路-环城南路
282,117.288845,31.86412737,长江中路 ,无为路,环城南路,无为路-环城南路
283,117.2889199,31.86413658,长江中路 ,无为路,环城南路,无为路-环城南路
284,117.2889888,31.8641454,长江中路 ,无为路,环城南路,无为路-环城南路
285,117.2890666,31.86415701,长江中路 ,无为路,环城南路,无为路-环城南路
286,117.2891298,31.86416222,长江中路 ,无为路,环城南路,无为路-环城南路
287,117.2891891,31.86416983,长江中路 ,无为路,环城南路,无为路-环城南路
288,117.2892452,31.86417704,长江中路 ,无为路,环城南路,无为路-环城南路
289,117.2893101,31.86418786,长江中路 ,无为路,环城南路,无为路-环城南路
290,117.2893748,31.86419627,长江中路 ,无为路,环城南路,无为路-环城南路
291,117.2894286,31.86420266,长江中路 ,无为路,环城南路,无为路-环城南路
292,117.2894936,31.86420909,长江中路 ,无为路,环城南路,无为路-环城南路
293,117.2895617,31.86421704,长江中路 ,无为路,环城南路,无为路-环城南路
294,117.2896402,31.86422511,长江中路 ,无为路,环城南路,无为路-环城南路
