SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,专用道路段,专用道路段 数字说明
1,117.2550022,31.8583438,1,0,16,1,梅山路-安农大站点
2,117.2560648,31.8587374,1,0,16,1,梅山路-安农大站点
3,117.2555396,31.85855496,1,0,16,1,梅山路-安农大站点
4,117.2551479,31.85840157,1,0,16,1,梅山路-安农大站点
5,117.2553548,31.85847,1,0,16,1,梅山路-安农大站点
6,117.2550767,31.85836201,1,0,16,1,梅山路-安农大站点
7,117.2552525,31.85842599,1,0,16,1,梅山路-安农大站点
8,117.2554559,31.858506,1,0,16,1,梅山路-安农大站点
9,117.255643,31.85859215,1,0,16,1,梅山路-安农大站点
10,117.2557359,31.85862004,1,0,16,1,梅山路-安农大站点
11,117.255837,31.85865373,1,0,16,1,梅山路-安农大站点
12,117.2559622,31.85869673,1,0,16,1,梅山路-安农大站点
13,117.2561514,31.85876103,1,0,16,1,梅山路-安农大站点
14,117.2562495,31.85879202,1,0,16,1,梅山路-安农大站点
15,117.2563472,31.85883152,1,0,16,1,梅山路-安农大站点
16,117.2564424,31.858878,1,0,16,1,梅山路-安农大站点
17,117.2565505,31.85891802,1,0,16,1,梅山路-安农大站点
18,117.2566574,31.85895237,1,0,16,1,梅山路-安农大站点
19,117.2567655,31.85898804,1,0,16,1,梅山路-安农大站点
20,117.2568759,31.85901977,1,0,16,1,梅山路-安农大站点
21,117.2569898,31.85906277,1,0,16,1,梅山路-安农大站点
22,117.257092,31.85910228,1,0,16,1,梅山路-安农大站点
23,117.2571989,31.85913798,1,0,16,1,梅山路-安农大站点
24,117.257307,31.85917897,1,0,16,1,梅山路-安农大站点
25,117.2574174,31.85921267,1,0,16,1,梅山路-安农大站点
26,117.2575406,31.85924985,1,0,16,1,梅山路-安农大站点
27,117.2576417,31.85928471,1,0,16,1,梅山路-安农大站点
28,117.2577613,31.85933468,1,0,16,1,梅山路-安农大站点
29,117.2578973,31.85939196,1,0,16,1,梅山路-安农大站点
30,117.2580414,31.85943926,1,0,16,1,梅山路-安农大站点
31,117.2581855,31.85948807,1,0,16,1,梅山路-安农大站点
32,117.258327,31.85953687,1,0,16,1,梅山路-安农大站点
33,117.2584655,31.85958699,1,0,16,1,梅山路-安农大站点
34,117.2586073,31.85964801,1,0,16,1,梅山路-安农大站点
35,117.2587363,31.85969375,1,0,16,1,梅山路-安农大站点
36,117.2588595,31.85973442,1,0,16,1,梅山路-安农大站点
37,117.2589884,31.85977741,1,0,16,1,梅山路-安农大站点
38,117.2629027,31.86117553,1,0,16,2,环城西路-三孝口站点
39,117.263016,31.86121252,1,0,16,2,环城西路-三孝口站点
40,117.2631415,31.86125551,1,0,16,2,环城西路-三孝口站点
41,117.2632461,31.861286,1,0,16,2,环城西路-三孝口站点
42,117.2633577,31.861332,1,0,16,2,环城西路-三孝口站点
43,117.263489,31.86137869,1,0,16,2,环城西路-三孝口站点
44,117.2636156,31.86142168,1,0,16,2,环城西路-三孝口站点
45,117.263726,31.86146468,1,0,16,2,环城西路-三孝口站点
46,117.2638457,31.86150419,1,0,16,2,环城西路-三孝口站点
47,117.2639689,31.86153603,1,0,16,2,环城西路-三孝口站点
48,117.2640886,31.86158785,1,0,16,2,环城西路-三孝口站点
49,117.2642059,31.86162504,1,0,16,2,环城西路-三孝口站点
50,117.2643361,31.86167598,1,0,16,2,环城西路-三孝口站点
51,117.2644767,31.86171684,1,0,16,2,环城西路-三孝口站点
52,117.2646057,31.86175983,1,0,16,2,环城西路-三孝口站点
53,117.2647382,31.8618098,1,0,16,2,环城西路-三孝口站点
54,117.2648706,31.86186209,1,0,16,2,环城西路-三孝口站点
55,117.2649903,31.86190899,1,0,16,2,环城西路-三孝口站点
56,117.2651321,31.86195389,1,0,16,2,环城西路-三孝口站点
